"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
17098,"As a Compass user I want information on how to connect to Atlas AWS GCP Azure So that if I have difficulties with connecting to my database I can do a Google MongoDB Documentation search and find what I need.","As a Compass user","I want information on how to connect to Atlas AWS GCP Azure","So that if I have difficulties with connecting to my database I can do a Google MongoDB Documentation search and find what I need.","As a Compass user<span class='highlight-text severity-high'> I want </span>information on how to connect to Atlas AWS GCP Azure So that if I have difficulties with connecting to my database<span class='highlight-text severity-high'> I can </span>do a Google MongoDB Documentation search and find what I need.","minimal","indicator_repetition","high",False
17098,"As a Compass user I want information on how to connect to Atlas AWS GCP Azure So that if I have difficulties with connecting to my database I can do a Google MongoDB Documentation search and find what I need.","As a Compass user","I want information on how to connect to Atlas AWS GCP Azure","So that if I have difficulties with connecting to my database I can do a Google MongoDB Documentation search and find what I need.","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
17102,"As a Compass user I want some help when writing my validation rules So that I don t need to remember the syntax of the validation operators, properties and their allowed values and the name of the fields of existing documents","As a Compass user","I want some help when writing my validation rules","So that I don t need to remember the syntax of the validation operators, properties and their allowed values and the name of the fields of existing documents","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
17103,"As a Compass user I want to see, create and modify schema validation rules for my collections so that I can guarantee that my data will always be in the shape I expect","As a Compass user","I want to see, create and modify schema validation rules for my collections","so that I can guarantee that my data will always be in the shape I expect","As a Compass user I want to see, create<span class='highlight-text severity-high'> and </span>modify schema validation rules for my collections so that I can guarantee that my data will always be in the shape I expect","atomic","conjunctions","high",False
17099,"As a Compass user I want a simple connect experience So that I better understand what information I need to fill in for my connection.","As a Compass user","I want a simple connect experience","So that I better understand what information I need to fill in for my connection.","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
17104,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.",NULL,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.",NULL,"Add for who this story is","well_formed","no_role","high",False
17104,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.",NULL,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.",NULL,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed<span class='highlight-text severity-high'> and </span>span class='highlight-text severity-high'> or </span>referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.","atomic","conjunctions","high",False
17100,"As a Compass user I want to see if existing documents match or do not match the validation rules I am adding So that I can understand whether I am adding the right rules and whether my existing data would need some cleanup","As a Compass user","I want to see if existing documents match or do not match the validation rules I am adding","So that I can understand whether I am adding the right rules and whether my existing data would need some cleanup","As a Compass user I want to see if existing documents match<span class='highlight-text severity-high'> or </span>do not match the validation rules I am adding So that I can understand whether I am adding the right rules<span class='highlight-text severity-high'> and </span>whether my existing data would need some cleanup","atomic","conjunctions","high",False
17105,"Let's try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we'll re eval !agg paste pipeline.png width 600!",NULL,"Let's try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we'll re eval !agg paste pipeline.png width 600!",NULL,"Add for who this story is","well_formed","no_role","high",False
17104,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.",NULL,"Following the Database User View Tutorial https docs.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.",NULL,"Following the Database User View Tutorial https docs<span class='highlight-text severity-high'>.mongodb.com compass master plugins tutorial user view , I am not able to execute the npm run compile step. This appears to be associated with a change in the packages needed and or referenced. The template files generated by Khaos do not match the general structure of the ones listed in the tutorial.</span>","minimal","punctuation","high",False
