"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
23997,"Don t Specify Read Preference on Connection This is a placeholder story to potentially flush out not specifying the read preference on the connection window, but allowing the user to change it once connected to the instance. Requested by Norberto.",NULL,"Don t Specify Read Preference on Connection This is a placeholder story to potentially flush out not specifying the read preference on the connection window, but allowing the user to change it once connected to the instance. Requested by Norberto.",NULL,"Add for who this story is","well_formed","no_role","high",False
24022,"Clone favorites As a Compass user I want to be able to clone favorite connections So that I quickly create favorites for all my different environments.",NULL,"Clone favorites As a Compass user I want to be able to clone favorite connections","So that I quickly create favorites for all my different environments.","Add for who this story is","well_formed","no_role","high",False
23935,"As a developer I want to insert a new document as JSON As a developer I want to insert a new document as JSON.","As a developer","I want to insert a new document as JSON As a developer I want to insert a new document as JSON.",NULL,"As a developer<span class='highlight-text severity-high'> I want to </span>insert a new document as JSON As a developer<span class='highlight-text severity-high'> I want to </span>insert a new document as JSON.","minimal","indicator_repetition","high",False
24022,"Clone favorites As a Compass user I want to be able to clone favorite connections So that I quickly create favorites for all my different environments.",NULL,"Clone favorites As a Compass user I want to be able to clone favorite connections","So that I quickly create favorites for all my different environments.","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
24018,"validationlevel And validationaction Support As a Compass user I want to control validationLevel and validationAction for my validation rules So that I can configure validation according to my needs",NULL,"validationlevel And validationaction Support As a Compass user I want to control validationLevel and validationAction for my validation rules","So that I can configure validation according to my needs","Add for who this story is","well_formed","no_role","high",False
24018,"validationlevel And validationaction Support As a Compass user I want to control validationLevel and validationAction for my validation rules So that I can configure validation according to my needs",NULL,"validationlevel And validationaction Support As a Compass user I want to control validationLevel and validationAction for my validation rules","So that I can configure validation according to my needs","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
24016,"Schema Validation Component As a Compass user I want to see, create and modify schema validation rules for my collections so that I can guarantee that my data will always be in the shape I expect",NULL,"Schema Validation Component As a Compass user I want to see, create and modify schema validation rules for my collections","so that I can guarantee that my data will always be in the shape I expect","Add for who this story is","well_formed","no_role","high",False
24014,"As a user, I would like an improved experience when pasting pre existing Aggregation Pipelines. Let s try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we ll re eval ","As a user",", I would like an improved experience when pasting pre existing Aggregation Pipelines. Let s try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we ll re eval",NULL,"As a user, I would like an improved experience when pasting pre existing Aggregation Pipelines<span class='highlight-text severity-high'>. Let s try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we ll re eval </span>","minimal","punctuation","high",False
24014,"As a user, I would like an improved experience when pasting pre existing Aggregation Pipelines. Let s try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we ll re eval ","As a user",", I would like an improved experience when pasting pre existing Aggregation Pipelines. Let s try if no stage selected and you paste into stage editor, the pipeline fills out. If messy, we ll re eval",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
23997,"Don t Specify Read Preference on Connection This is a placeholder story to potentially flush out not specifying the read preference on the connection window, but allowing the user to change it once connected to the instance. Requested by Norberto.",NULL,"Don t Specify Read Preference on Connection This is a placeholder story to potentially flush out not specifying the read preference on the connection window, but allowing the user to change it once connected to the instance. Requested by Norberto.",NULL,"Don t Specify Read Preference on Connection This is a placeholder story to potentially flush out not specifying the read preference on the connection window, but allowing the user to change it once connected to the instance<span class='highlight-text severity-high'>. Requested by Norberto.</span>","minimal","punctuation","high",False
