"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
27545,"As a user who has logged in via kerberos, I want Compass to be a fully a kerberized application","As a user who has logged in via kerberos,","I want Compass to be a fully a kerberized application",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27564,"As a user with large documents I want to provide a filter or project before the documents view populates","As a user with large documents","I want to provide a filter or project before the documents view populates",NULL,"As a user with large documents I want to provide a filter<span class='highlight-text severity-high'> or </span>project before the documents view populates","atomic","conjunctions","high",False
27573,"As a brand new user I would like to get started with an Atlas instance as quickly as possible","As a brand new user","I would like to get started with an Atlas instance as quickly as possible",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27382,"As a Compass user I want the buttons to update when an import completes So that I don t accidentally import duplicate data into my collection","As a Compass user","I want the buttons to update when an import completes","So that I don t accidentally import duplicate data into my collection","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27383,"As a Compass user I want the documents view to refresh when an import completes So that I can immediately interact with the new data imported into my collection and I am reassured that the import actually happened","As a Compass user","I want the documents view to refresh when an import completes","So that I can immediately interact with the new data imported into my collection and I am reassured that the import actually happened","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27492,"Support Collation in Agg Pipeline Builder",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27492,"Support Collation in Agg Pipeline Builder",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27384,"As a Compass user I want to specify types for the fields I want to import from CSV So that I can control the schema of data I want to have in my collection","As a Compass user","I want to specify types for the fields I want to import from CSV","So that I can control the schema of data I want to have in my collection","As a Compass user<span class='highlight-text severity-high'> I want to </span>specify types for the fields<span class='highlight-text severity-high'> I want to </span>import from CSV So that I can control the schema of data<span class='highlight-text severity-high'> I want to </span>have in my collection","minimal","indicator_repetition","high",False
27493,"Use Cmd F to find field name to check value",NULL,"Use Cmd F to find field name to check value",NULL,"Add for who this story is","well_formed","no_role","high",False
27498,"Make connection error messaging more helpful",NULL,"Make connection error messaging more helpful",NULL,"Add for who this story is","well_formed","no_role","high",False
27516,"As a user I see a warning info banner explaining why my constructed query includes only my aggregation stages and not the additional aggregation syntax in my driver","As a user","I see a warning info banner explaining why my constructed query includes only my aggregation stages and not the additional aggregation syntax in my driver",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27518,"As a user I see a warning info banner explaining why my constructed PROJECT, SORT, SKIP, LIMIT options are not included as part of the exported query","As a user","I see a warning info banner explaining why my constructed PROJECT, SORT, SKIP, LIMIT options are not included as part of the exported query",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27532,"As a user I want my created GUI schema and or my created JSON schema to stay in sync","As a user","I want my created GUI schema and or my created JSON schema to stay in sync",NULL,"As a user I want my created GUI schema<span class='highlight-text severity-high'> and </span>span class='highlight-text severity-high'> or </span>my created JSON schema to stay in sync","atomic","conjunctions","high",False
27532,"As a user I want my created GUI schema and or my created JSON schema to stay in sync","As a user","I want my created GUI schema and or my created JSON schema to stay in sync",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27524,"As a user I want duplicate my schema saved in Compass","As a user","I want duplicate my schema saved in Compass",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27538,"For MongoDB 4.0 perform ",NULL,"For MongoDB 4.0 perform ",NULL,"Add for who this story is","well_formed","no_role","high",False
27541,"As a user I would like to duplicate a favorite","As a user","I would like to duplicate a favorite",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27540,"As a French speaking Compass user I would prefer the user interface to use French instead of English","As a French speaking Compass user","I would prefer the user interface to use French instead of English",NULL,"Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
