"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
27957,"AMQP transport. Define specs document. ",NULL,NULL,NULL,"AMQP transport<span class='highlight-text severity-high'>. Define specs document. </span>","minimal","punctuation","high",False
27958,"DeploymentService API modification for domains",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27958,"DeploymentService API modification for domains",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27959,"Integrate the current Web Services Component to Mule",NULL,"Integrate the current Web Services Component to Mule",NULL,"Add for who this story is","well_formed","no_role","high",False
27962,"Update Spring version used in Mule to 3.2",NULL,"Update Spring version used in Mule to 3.2",NULL,"Add for who this story is","well_formed","no_role","high",False
27956,"AMQP transport. Define connector schema",NULL,NULL,NULL,"AMQP transport<span class='highlight-text severity-high'>. Define connector schema</span>","minimal","punctuation","high",False
27957,"AMQP transport. Define specs document. ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27957,"AMQP transport. Define specs document. ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27948,"This version works with 1.8.0 and there are some deprecated methods in 1.9.11, so there is a need for an upgrade.",NULL,"This version works with 1.8.0 and there are","some deprecated methods in 1.9.11, so there is a need for an upgrade.","Add for who this story is","well_formed","no_role","high",False
27948,"This version works with 1.8.0 and there are some deprecated methods in 1.9.11, so there is a need for an upgrade.",NULL,"This version works with 1.8.0 and there are","some deprecated methods in 1.9.11, so there is a need for an upgrade.","This version works with 1.8.0<span class='highlight-text severity-high'> and </span>there are some deprecated methods in 1.9.11, so there is a need for an upgrade.","atomic","conjunctions","high",False
27948,"This version works with 1.8.0 and there are some deprecated methods in 1.9.11, so there is a need for an upgrade.",NULL,"This version works with 1.8.0 and there are","some deprecated methods in 1.9.11, so there is a need for an upgrade.","Use the most common template: As a, I want to, So that","uniform","uniform","medium",False
27951,"AMQP Transport. Integration testing.",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27951,"AMQP Transport. Integration testing.",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27951,"AMQP Transport. Integration testing.",NULL,NULL,NULL,"AMQP Transport<span class='highlight-text severity-high'>. Integration testing.</span>","minimal","punctuation","high",False
27950,"AMQP Transport. Write documentation",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27950,"AMQP Transport. Write documentation",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27950,"AMQP Transport. Write documentation",NULL,NULL,NULL,"AMQP Transport<span class='highlight-text severity-high'>. Write documentation</span>","minimal","punctuation","high",False
27949,"Support to receive Mule expressions as parameters without getting resolved",NULL,"Support to receive Mule expressions as parameters without getting resolved",NULL,"Add for who this story is","well_formed","no_role","high",False
27952,"AMQP transport. Create inbound requestor request ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27952,"AMQP transport. Create inbound requestor request ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27952,"AMQP transport. Create inbound requestor request ",NULL,NULL,NULL,"AMQP transport<span class='highlight-text severity-high'>. Create inbound requestor request </span>","minimal","punctuation","high",False
