"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
24524,"AMQP transport. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ",NULL,NULL,"SO THAT I can consume messages at any point of the flow","Add for who this story is","well_formed","no_role","high",False
24521,"AMQP transport. Create connector skeleton. AS A developer I WANT I want to have a base project skeleton SO THAT there is a basement to build on with agreed placeholders for endpoints, connectors, transactions that should be stable. ",NULL,NULL,"SO THAT there is a basement to build on with agreed placeholders for endpoints, connectors, transactions that should be stable.","Add what you want to achieve","well_formed","no_means","high",False
24521,"AMQP transport. Create connector skeleton. AS A developer I WANT I want to have a base project skeleton SO THAT there is a basement to build on with agreed placeholders for endpoints, connectors, transactions that should be stable. ",NULL,NULL,"SO THAT there is a basement to build on with agreed placeholders for endpoints, connectors, transactions that should be stable.","Add for who this story is","well_formed","no_role","high",False
24508,"Update Spring version used in Mule to 3.2 Update the version of Spring we are using to 3.2",NULL,"Update Spring version used in Mule to 3.2 Update the version of Spring we are using to 3.2",NULL,"Add for who this story is","well_formed","no_role","high",False
24524,"AMQP transport. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ",NULL,NULL,"SO THAT I can consume messages at any point of the flow","AMQP transport<span class='highlight-text severity-high'>. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow </span>","minimal","punctuation","high",False
24524,"AMQP transport. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ",NULL,NULL,"SO THAT I can consume messages at any point of the flow","Add what you want to achieve","well_formed","no_means","high",False
24524,"AMQP transport. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ",NULL,NULL,"SO THAT I can consume messages at any point of the flow","AMQP transport. Create inbound requestor request AS A user<span class='highlight-text severity-high'> I WANT </span>span class='highlight-text severity-high'> I want to </span>be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ","minimal","indicator_repetition","high",False
24524,"AMQP transport. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ",NULL,NULL,"SO THAT I can consume messages at any point of the flow","Use the most common template: So that","uniform","uniform","medium",False
24526,"AMQP Transport. Write documentation AS A user I WANT I want to have documentation around the features of this transport SO THAT I can learn how to use it and to have a reference ",NULL,NULL,"SO THAT I can learn how to use it and to have a reference","Add what you want to achieve","well_formed","no_means","high",False
24526,"AMQP Transport. Write documentation AS A user I WANT I want to have documentation around the features of this transport SO THAT I can learn how to use it and to have a reference ",NULL,NULL,"SO THAT I can learn how to use it and to have a reference","Add for who this story is","well_formed","no_role","high",False
